epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,71.5462,2.18576,4.81989,0.00505,0.00729,0.01839,0.00164,0.00125,1.78934,4.52798,0.00373,4.998e-05,4.998e-05,4.998e-05
2,137.568,2.02789,4.66095,0.00413,0.02053,0.01693,0.00159,0.00114,1.80493,4.47644,0.00378,7.1757e-05,7.1757e-05,7.1757e-05
3,200.488,2.11637,4.57152,0.0041,0.02539,0.01303,0.00195,0.00159,1.7885,4.4775,0.00375,5.58348e-05,5.58348e-05,5.58348e-05
