epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
17,1203.33,1.52239,1.11528,0.00333,0.60901,0.26579,0.28623,0.171,1.56394,1.25623,0.00295,0.000600902,0.000600902,0.000600902
18,1273.01,1.61472,1.13845,0.00343,0.56231,0.29448,0.29317,0.17441,1.61315,1.19782,0.00311,0.000593834,0.000593834,0.000593834
19,1343.45,1.54008,1.12061,0.00333,0.32252,0.33279,0.3043,0.1836,1.52307,1.12997,0.00291,0.000586765,0.000586765,0.000586765
20,1413.36,1.61972,1.11993,0.00318,0.47731,0.334,0.31434,0.18769,1.5535,1.09976,0.00291,0.000579697,0.000579697,0.000579697
21,1484.23,1.48083,1.10583,0.00331,0.47668,0.32373,0.35565,0.21539,1.51119,1.04199,0.00283,0.000572628,0.000572628,0.000572628
22,1554.81,1.44829,1.02108,0.0029,0.48447,0.31153,0.34477,0.20874,1.49898,1.10002,0.00281,0.000565559,0.000565559,0.000565559
23,1624.67,1.44092,0.94173,0.00291,0.40757,0.40407,0.36222,0.21861,1.49438,1.0436,0.00282,0.000558491,0.000558491,0.000558491
24,1695.1,1.47094,0.98551,0.00317,0.41184,0.38684,0.38772,0.23081,1.4882,1.02352,0.00284,0.000551422,0.000551422,0.000551422
25,1766.25,1.55033,1.00325,0.00292,0.38907,0.42857,0.3706,0.21842,1.5176,1.03231,0.00287,0.000544354,0.000544354,0.000544354
26,1836.51,1.50508,1.1113,0.00341,0.42403,0.38378,0.37316,0.22698,1.47846,1.0288,0.00282,0.000537285,0.000537285,0.000537285
27,1907,1.64119,1.04083,0.00296,0.41446,0.41739,0.39381,0.24345,1.50516,1.00346,0.00282,0.000530216,0.000530216,0.000530216
28,1977.63,1.51358,0.97675,0.00307,0.46199,0.33509,0.3656,0.22389,1.53713,1.06778,0.00294,0.000523148,0.000523148,0.000523148
29,2047.95,1.51819,1.04355,0.00332,0.48776,0.35949,0.35297,0.21451,1.48147,1.02348,0.00283,0.000516079,0.000516079,0.000516079
30,2117.96,1.47574,0.91386,0.003,0.50098,0.38611,0.37145,0.22103,1.50372,1.00046,0.0029,0.000509011,0.000509011,0.000509011
31,2188.07,1.59967,0.94145,0.00271,0.5723,0.35535,0.38933,0.2326,1.49926,0.96731,0.00279,0.000501942,0.000501942,0.000501942
32,2258.01,1.56928,0.95586,0.00295,0.57594,0.35016,0.3848,0.23016,1.4978,0.98437,0.00287,0.000494873,0.000494873,0.000494873
