epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,78.106,1.74688,4.03906,0.00495,0.01791,0.16271,0.03222,0.02244,1.51418,3.03859,0.00401,4.284e-05,4.284e-05,4.284e-05
2,153.449,1.64486,3.34636,0.00459,0.75003,0.04236,0.04311,0.02845,1.51994,2.8116,0.00405,6.21894e-05,6.21894e-05,6.21894e-05
3,227.908,1.62647,2.63013,0.00449,0.74381,0.04621,0.04387,0.02843,1.49048,4.29128,0.00392,4.8552e-05,4.8552e-05,4.8552e-05
