,epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
176,177,5392.19,1.23009,0.55784,0.00186,0.53605,0.51328,0.48901,0.30462,1.41272,0.91513,0.00261,0.000176786,0.000176786,0.000176786
177,178,5461.51,1.11364,0.48576,0.0019,0.52347,0.50642,0.49172,0.30645,1.41689,0.91895,0.0026,0.000169718,0.000169718,0.000169718
178,179,5531.06,1.07598,0.46454,0.00189,0.55021,0.48581,0.5018,0.31245,1.41356,0.93675,0.00259,0.000162649,0.000162649,0.000162649
179,180,5600.97,1.10988,0.50173,0.0018,0.55056,0.49332,0.49146,0.30953,1.4184,0.94123,0.00261,0.000155581,0.000155581,0.000155581
180,181,5670.72,1.121,0.50173,0.0019,0.59493,0.48265,0.48822,0.30837,1.42269,0.93078,0.00262,0.000148512,0.000148512,0.000148512
181,182,5740.47,1.0864,0.49356,0.00191,0.60458,0.47565,0.4859,0.30665,1.4192,0.92745,0.00261,0.000141443,0.000141443,0.000141443
182,183,5810.12,1.24053,0.56854,0.00193,0.57122,0.48958,0.48649,0.30325,1.41936,0.92072,0.0026,0.000134375,0.000134375,0.000134375
183,184,5880.24,1.18116,0.52973,0.00221,0.55713,0.49031,0.48296,0.29988,1.42369,0.93645,0.00261,0.000127306,0.000127306,0.000127306
184,185,5949.78,1.12551,0.49207,0.00194,0.53693,0.4857,0.47655,0.29733,1.42966,0.95516,0.00262,0.000120238,0.000120238,0.000120238
185,186,6019.46,1.19405,0.53276,0.00185,0.54577,0.4701,0.47522,0.29805,1.42345,0.94312,0.00261,0.000113169,0.000113169,0.000113169
186,187,6089.45,1.17764,0.55904,0.00194,0.5608,0.47154,0.46893,0.29068,1.41898,0.93917,0.00261,0.0001061,0.0001061,0.0001061
187,188,6159.58,1.11523,0.50706,0.00186,0.56985,0.45237,0.47497,0.29679,1.42083,0.94684,0.00261,9.90318e-05,9.90318e-05,9.90318e-05
188,189,6229.23,1.06642,0.47427,0.0019,0.55504,0.46185,0.47682,0.29741,1.43064,0.9466,0.00263,9.19632e-05,9.19632e-05,9.19632e-05
189,190,6298.77,1.1171,0.5143,0.0018,0.55905,0.46728,0.46924,0.29011,1.42561,0.94441,0.00261,8.48946e-05,8.48946e-05,8.48946e-05
190,191,6368.98,1.1039,0.47127,0.00179,0.54842,0.47575,0.47109,0.29201,1.41893,0.94072,0.0026,7.7826e-05,7.7826e-05,7.7826e-05
191,192,6438.98,1.13585,0.50166,0.00182,0.56844,0.47501,0.47409,0.29424,1.41654,0.94049,0.00259,7.07574e-05,7.07574e-05,7.07574e-05
192,193,6508.67,1.08111,0.47527,0.00207,0.57146,0.47081,0.48341,0.30348,1.41976,0.94086,0.00259,6.36888e-05,6.36888e-05,6.36888e-05
193,194,6578.96,1.1445,0.49955,0.00174,0.58871,0.46242,0.48293,0.30497,1.41939,0.94133,0.0026,5.66202e-05,5.66202e-05,5.66202e-05
194,195,6649.28,1.13423,0.49746,0.00179,0.59236,0.45938,0.48096,0.30431,1.4185,0.94379,0.0026,4.95516e-05,4.95516e-05,4.95516e-05
195,196,6719.85,1.02085,0.46583,0.00187,0.58553,0.453,0.4806,0.30526,1.41612,0.94468,0.00259,4.2483e-05,4.2483e-05,4.2483e-05
196,197,6790.08,1.18174,0.53475,0.00178,0.57617,0.4717,0.48191,0.30547,1.41381,0.94774,0.00259,3.54144e-05,3.54144e-05,3.54144e-05
197,198,6860.2,1.00963,0.45209,0.00176,0.58242,0.47414,0.4819,0.30447,1.41205,0.94421,0.00258,2.83458e-05,2.83458e-05,2.83458e-05
198,199,6929.97,1.08449,0.49883,0.0019,0.56311,0.47509,0.4736,0.29635,1.41392,0.94355,0.00258,2.12772e-05,2.12772e-05,2.12772e-05
199,200,6999.9,1.14205,0.53648,0.00184,0.5605,0.47858,0.47349,0.29665,1.41466,0.94342,0.00258,1.42086e-05,1.42086e-05,1.42086e-05
