epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.9925,2.1856,4.81987,0.00505,0.00728,0.01839,0.00164,0.00125,1.78933,4.52798,0.00373,4.998e-05,4.998e-05,4.998e-05
2,46.7356,2.02584,4.63758,0.0041,0.02566,0.03133,0.00289,0.00169,1.81883,4.46196,0.00385,0.00010604,0.00010604,0.00010604
3,68.3897,2.11448,4.48635,0.00405,0.02308,0.0312,0.00546,0.00375,1.78345,4.44656,0.00377,0.000160968,0.000160968,0.000160968
4,90.4892,2.03135,4.38757,0.00376,0.01506,0.04367,0.01011,0.00728,1.84669,4.41227,0.00388,0.000214766,0.000214766,0.000214766
5,112.106,2.04406,4.16753,0.00354,0.01303,0.04922,0.01369,0.00943,1.87251,4.26158,0.00391,0.000267433,0.000267433,0.000267433
6,134.186,2.07394,3.88838,0.0038,0.01392,0.05584,0.01658,0.01109,1.88749,4.00877,0.00405,0.000318969,0.000318969,0.000318969
7,155.959,2.08209,3.63124,0.00369,0.01879,0.08531,0.02156,0.01453,1.89434,3.70542,0.00406,0.000369374,0.000369374,0.000369374
8,177.593,2.01864,3.4585,0.00361,0.01897,0.10839,0.03146,0.02041,1.91372,3.4017,0.00413,0.000418647,0.000418647,0.000418647
9,199.255,1.97307,3.25661,0.00347,0.71497,0.04241,0.04473,0.0294,1.87286,3.09657,0.00406,0.00046679,0.00046679,0.00046679
10,221.146,1.9755,2.91434,0.00376,0.83628,0.04267,0.05161,0.03538,1.82337,2.85461,0.00387,0.000513802,0.000513802,0.000513802
11,242.696,1.9722,2.86132,0.00385,0.76456,0.06458,0.06594,0.04619,1.82887,2.58025,0.00378,0.000559683,0.000559683,0.000559683
12,264.665,1.96902,2.75561,0.00367,0.72646,0.07692,0.07731,0.04963,1.83789,2.42318,0.00381,0.000604433,0.000604433,0.000604433
13,285.946,1.95126,2.48483,0.0037,0.61738,0.10105,0.08316,0.05122,1.78405,2.29264,0.0037,0.000629177,0.000629177,0.000629177
14,307.605,1.99612,2.39048,0.00348,0.58557,0.12979,0.08538,0.05077,1.82429,2.27326,0.0037,0.000622108,0.000622108,0.000622108
15,328.927,2.00775,2.36096,0.00349,0.56795,0.12871,0.08669,0.05202,1.78678,2.18372,0.00361,0.00061504,0.00061504,0.00061504
16,351.534,2.06792,2.26067,0.00337,0.57963,0.12284,0.08889,0.05047,1.81644,2.1387,0.00367,0.000607971,0.000607971,0.000607971
