epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,76.169,1.7357,4.08341,0.00403,0.01956,0.13498,0.02616,0.0198,1.47331,3.1776,0.0035,4.284e-05,4.284e-05,4.284e-05
2,149.592,1.63539,3.26658,0.00388,0.84216,0.04368,0.03923,0.02687,1.48795,4.8593,0.00361,9.25137e-05,9.25137e-05,9.25137e-05
3,221.631,1.581,2.51616,0.00383,0.73418,0.05261,0.04168,0.0271,1.49477,8.20841,0.00359,0.000141858,0.000141858,0.000141858
4,293.946,1.58427,2.20676,0.00348,0.38234,0.12663,0.07104,0.04161,1.48327,5.7017,0.00356,0.000190871,0.000190871,0.000190871
5,365.829,1.58011,2.00496,0.00365,0.62428,0.12099,0.10682,0.0638,1.45943,2.79526,0.00347,0.000239556,0.000239556,0.000239556
6,438.029,1.50239,1.79902,0.00378,0.41056,0.18766,0.13457,0.08683,1.48433,2.05272,0.00365,0.00028791,0.00028791,0.00028791
7,510.954,1.61754,1.71086,0.0035,0.46805,0.18052,0.16781,0.10453,1.48835,1.61194,0.00365,0.000335934,0.000335934,0.000335934
8,582.968,1.63458,1.57846,0.00365,0.38855,0.20761,0.17427,0.10823,1.49407,1.54866,0.00365,0.000383629,0.000383629,0.000383629
9,653.731,1.55492,1.53069,0.00355,0.35827,0.24121,0.18143,0.11618,1.45762,1.51147,0.00353,0.000430993,0.000430993,0.000430993
10,726.338,1.59825,1.48323,0.00358,0.42844,0.25148,0.20551,0.12634,1.51861,1.49815,0.0036,0.000478028,0.000478028,0.000478028
11,797.374,1.68475,1.49298,0.00376,0.34768,0.24033,0.19581,0.12269,1.45546,1.44371,0.00353,0.000524733,0.000524733,0.000524733
12,869.071,1.60921,1.37014,0.00359,0.58453,0.21384,0.21447,0.12677,1.51859,1.41702,0.00364,0.000571108,0.000571108,0.000571108
13,941.811,1.55222,1.32246,0.0038,0.33115,0.25522,0.21088,0.12716,1.47463,1.38904,0.00357,0.000617153,0.000617153,0.000617153
14,1013.67,1.60642,1.29549,0.00358,0.43808,0.25311,0.2228,0.13651,1.52379,1.4202,0.00371,0.000662868,0.000662868,0.000662868
15,1086.91,1.6076,1.29536,0.0036,0.25141,0.24664,0.22226,0.13703,1.5042,1.35356,0.00366,0.000681013,0.000681013,0.000681013
16,1159.95,1.7063,1.29513,0.00347,0.29245,0.24698,0.2335,0.13967,1.55572,1.31338,0.00386,0.000678657,0.000678657,0.000678657
17,1232.42,1.57137,1.21286,0.00366,0.30674,0.27534,0.23828,0.14578,1.49831,1.29026,0.0037,0.000676301,0.000676301,0.000676301
18,1303.58,1.54723,1.18874,0.00348,0.29699,0.29446,0.25418,0.15379,1.46466,1.29393,0.00348,0.000673945,0.000673945,0.000673945
19,1377.51,1.53434,1.14949,0.00341,0.49935,0.24797,0.269,0.16464,1.4362,1.31185,0.00347,0.000671588,0.000671588,0.000671588
20,1449.33,1.53378,1.16033,0.00335,0.44097,0.29729,0.27667,0.16651,1.47302,1.28289,0.00357,0.000669232,0.000669232,0.000669232
21,1522.03,1.49426,1.14379,0.00335,0.32808,0.33171,0.28572,0.17101,1.4524,1.23005,0.00349,0.000666876,0.000666876,0.000666876
22,1594.3,1.52317,1.11382,0.00368,0.35499,0.30036,0.29963,0.17643,1.49806,1.19402,0.00361,0.00066452,0.00066452,0.00066452
23,1666.68,1.55545,1.11211,0.00333,0.34687,0.31875,0.30708,0.18633,1.4851,1.15555,0.00357,0.000662164,0.000662164,0.000662164
