epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.78058,1.33322,2.67163,0.01425,0.90762,0.65017,0.90221,0.66576,1.58809,0.95649,0.0116,0,0,0
2,10.3812,1.47738,2.47263,0.01783,0.89283,0.65549,0.90231,0.66594,1.58692,0.9562,0.01155,1.17822e-06,1.17822e-06,1.17822e-06
3,15.9468,1.40541,2.06207,0.02123,0.87756,0.663,0.90436,0.66527,1.58634,0.95507,0.01156,2.33288e-06,2.33288e-06,2.33288e-06
4,21.3095,1.59929,3.02664,0.02123,0.88518,0.6711,0.90446,0.66496,1.5915,0.95511,0.01155,3.46397e-06,3.46397e-06,3.46397e-06
5,26.8828,1.28972,3.0525,0.02261,0.86833,0.66315,0.90443,0.66408,1.59212,0.96234,0.01153,4.5715e-06,4.5715e-06,4.5715e-06
6,32.8398,1.29834,3.67609,0.02681,0.87971,0.66141,0.90443,0.66386,1.58258,0.9616,0.01144,5.65548e-06,5.65548e-06,5.65548e-06
7,38.7391,1.19712,2.26892,0.01405,0.84477,0.68387,0.90048,0.65966,1.62238,0.95766,0.01191,6.71588e-06,6.71588e-06,6.71588e-06
8,44.4965,1.00452,2.44333,0.01349,0.85975,0.6783,0.90202,0.66283,1.624,0.95449,0.01189,7.75273e-06,7.75273e-06,7.75273e-06
9,50.63,1.14016,2.28565,0.0133,0.85567,0.68152,0.902,0.66292,1.62201,0.954,0.01186,8.76602e-06,8.76602e-06,8.76602e-06
10,56.2154,1.1467,2.09044,0.01569,0.84536,0.68512,0.902,0.6609,1.61882,0.96069,0.01181,9.75574e-06,9.75574e-06,9.75574e-06
11,61.426,1.24534,2.37091,0.01338,0.97228,0.61918,0.90202,0.65578,1.61901,0.98645,0.01178,1.07219e-05,1.07219e-05,1.07219e-05
12,66.8987,1.22009,1.96669,0.01384,0.83976,0.67964,0.9079,0.66069,1.61459,0.98354,0.01175,1.16645e-05,1.16645e-05,1.16645e-05
13,72.2652,1.2372,2.6206,0.01377,0.96635,0.62048,0.88992,0.65911,1.62327,1.00181,0.01185,1.25835e-05,1.25835e-05,1.25835e-05
14,77.6807,1.19557,2.52753,0.02057,0.95435,0.62268,0.8893,0.65275,1.56335,1.11883,0.01147,1.3479e-05,1.3479e-05,1.3479e-05
15,82.7688,1.42302,3.26995,0.01591,0.83706,0.68567,0.88889,0.65065,1.56287,1.11853,0.01145,1.43509e-05,1.43509e-05,1.43509e-05
16,88.0211,1.26001,2.13183,0.01572,0.83437,0.68599,0.8885,0.66689,1.55936,1.12396,0.01136,1.51993e-05,1.51993e-05,1.51993e-05
17,93.0653,0.96439,1.87457,0.01082,0.84788,0.67612,0.88772,0.66767,1.55559,1.13721,0.01133,1.60241e-05,1.60241e-05,1.60241e-05
18,98.474,1.06105,1.99209,0.01142,0.84788,0.67612,0.88772,0.66767,1.55559,1.13721,0.01133,1.68253e-05,1.68253e-05,1.68253e-05
19,103.689,1.03877,1.63822,0.00916,0.85892,0.6707,0.88636,0.6672,1.55347,1.15237,0.0111,1.7603e-05,1.7603e-05,1.7603e-05
20,108.964,1.00134,2.32004,0.01751,0.85892,0.6707,0.88636,0.6672,1.55347,1.15237,0.0111,1.83571e-05,1.83571e-05,1.83571e-05
21,114.208,0.96989,2.06451,0.01385,0.92698,0.62761,0.88627,0.67602,1.54326,1.17432,0.01087,1.90876e-05,1.90876e-05,1.90876e-05
22,121.101,1.04336,1.96039,0.01073,0.92698,0.62761,0.88627,0.67602,1.54326,1.17432,0.01087,1.97946e-05,1.97946e-05,1.97946e-05
23,127.133,1.08624,2.35585,0.01493,0.83795,0.6833,0.85827,0.66234,1.54732,1.18394,0.01096,2.0478e-05,2.0478e-05,2.0478e-05
24,132.422,1.31024,2.85538,0.02668,0.83795,0.6833,0.85827,0.66234,1.54732,1.18394,0.01096,2.11379e-05,2.11379e-05,2.11379e-05
25,137.84,0.83363,1.85258,0.01205,0.84223,0.68411,0.85198,0.66053,1.55269,1.19237,0.01109,2.17741e-05,2.17741e-05,2.17741e-05
26,143.312,1.07215,2.03832,0.01044,0.84223,0.68411,0.85198,0.66053,1.55269,1.19237,0.01109,2.23869e-05,2.23869e-05,2.23869e-05
27,148.753,1.098,2.05096,0.0146,0.7807,0.71667,0.81695,0.63913,1.55498,1.2338,0.01104,2.2976e-05,2.2976e-05,2.2976e-05
28,154.713,1.17246,1.80517,0.02058,0.7807,0.71667,0.81695,0.63913,1.55498,1.2338,0.01104,2.35417e-05,2.35417e-05,2.35417e-05
29,159.995,1.08911,1.99283,0.01241,0.79762,0.68422,0.85903,0.65625,1.57568,1.21836,0.01114,2.40837e-05,2.40837e-05,2.40837e-05
30,165.467,1.42633,2.73077,0.02701,0.79762,0.68422,0.85903,0.65625,1.57568,1.21836,0.01114,2.46022e-05,2.46022e-05,2.46022e-05
31,170.757,0.97088,1.78044,0.01704,0.73966,0.69112,0.82055,0.65387,1.5712,1.23341,0.01104,2.50971e-05,2.50971e-05,2.50971e-05
32,175.695,1.03827,1.52413,0.01342,0.73966,0.69112,0.82055,0.65387,1.5712,1.23341,0.01104,2.55685e-05,2.55685e-05,2.55685e-05
33,181.061,1.13519,3.90848,0.01803,0.77888,0.67062,0.86474,0.67082,1.59777,1.19303,0.01107,2.60163e-05,2.60163e-05,2.60163e-05
34,186.052,1.01368,1.29417,0.01487,0.77888,0.67062,0.86474,0.67082,1.59777,1.19303,0.01107,2.64405e-05,2.64405e-05,2.64405e-05
35,191.619,0.83769,2.33057,0.01673,0.7287,0.6953,0.82452,0.64994,1.59603,1.2251,0.01101,2.68412e-05,2.68412e-05,2.68412e-05
36,196.954,1.21172,2.07978,0.01065,0.7287,0.6953,0.82452,0.64994,1.59603,1.2251,0.01101,2.72183e-05,2.72183e-05,2.72183e-05
