epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,87.8422,1.67795,4.14875,0.00339,0.03175,0.08524,0.03269,0.0236,1.5946,3.06011,0.00311,4.998e-05,4.998e-05,4.998e-05
2,172.594,1.66514,3.22588,0.00357,0.59363,0.05519,0.0435,0.03061,1.53721,7.48195,0.00293,0.000106747,0.000106747,0.000106747
3,257.377,1.57838,2.47433,0.0036,0.06897,0.13436,0.07402,0.04759,1.50813,6.58844,0.00288,0.000163136,0.000163136,0.000163136
4,341.838,1.50431,2.16235,0.00327,0.56657,0.1243,0.1155,0.06637,1.54762,4.44148,0.00296,0.000219149,0.000219149,0.000219149
5,426.342,1.5531,2.01942,0.00439,0.59005,0.19377,0.13622,0.0823,1.49669,2.15222,0.00289,0.000274784,0.000274784,0.000274784
6,509.718,1.58372,1.74799,0.00357,0.5134,0.22958,0.16898,0.10389,1.57489,1.99149,0.00301,0.000330043,0.000330043,0.000330043
7,593.218,1.7177,1.58982,0.00315,0.41796,0.2104,0.1829,0.10848,1.5918,1.58629,0.00312,0.000384925,0.000384925,0.000384925
8,676.407,1.55297,1.50415,0.00346,0.67003,0.19564,0.19093,0.11385,1.56785,1.63493,0.00311,0.000439429,0.000439429,0.000439429
9,759.707,1.59841,1.43062,0.00313,0.46732,0.2339,0.19664,0.1235,1.4845,1.43232,0.00281,0.000493557,0.000493557,0.000493557
10,843.2,1.55329,1.35684,0.00327,0.46117,0.25408,0.21832,0.13398,1.59392,1.37825,0.00303,0.000547307,0.000547307,0.000547307
11,926.401,1.56995,1.26088,0.00313,0.46252,0.28234,0.22855,0.13304,1.51595,1.40904,0.00292,0.000600681,0.000600681,0.000600681
12,1008.93,1.51636,1.2818,0.00318,0.30221,0.30859,0.25468,0.15611,1.50564,1.27357,0.00294,0.000653678,0.000653678,0.000653678
13,1091.81,1.48855,1.32588,0.00433,0.31663,0.31539,0.2628,0.15211,1.60687,1.28195,0.00312,0.000685726,0.000685726,0.000685726
14,1174.91,1.55867,1.22812,0.00339,0.33167,0.29885,0.2631,0.152,1.55413,1.3448,0.003,0.000683369,0.000683369,0.000683369
15,1257.99,1.60077,1.18609,0.0034,0.43314,0.30758,0.28068,0.16063,1.5633,1.27809,0.00302,0.000681013,0.000681013,0.000681013
16,1341.37,1.51334,1.14474,0.003,0.30462,0.41285,0.30449,0.18039,1.55968,1.25316,0.00303,0.000678657,0.000678657,0.000678657
17,1425.07,1.52114,1.13297,0.00337,0.40442,0.37353,0.32291,0.1986,1.49161,1.20895,0.00285,0.000676301,0.000676301,0.000676301
18,1508.02,1.55861,1.14142,0.00332,0.42046,0.34834,0.32516,0.19774,1.55183,1.23712,0.003,0.000673945,0.000673945,0.000673945
19,1591.22,1.49767,1.07019,0.00316,0.46998,0.33684,0.35507,0.21011,1.52447,1.17159,0.00287,0.000671588,0.000671588,0.000671588
20,1674.75,1.61531,1.11586,0.00314,0.42205,0.40538,0.35563,0.21445,1.53124,1.12584,0.00294,0.000669232,0.000669232,0.000669232
21,1758.06,1.47727,1.10473,0.00334,0.44492,0.35748,0.36785,0.21652,1.50545,1.08338,0.00284,0.000666876,0.000666876,0.000666876
22,1841.53,1.46046,1.02888,0.00296,0.56637,0.36556,0.37543,0.22309,1.49546,1.06743,0.00284,0.00066452,0.00066452,0.00066452
23,1925.17,1.46089,0.96063,0.00301,0.53584,0.33443,0.36786,0.22076,1.52469,1.06593,0.00291,0.000662164,0.000662164,0.000662164
24,2008.21,1.46297,0.99809,0.00326,0.37201,0.39391,0.35778,0.2157,1.4818,1.03919,0.00277,0.000659807,0.000659807,0.000659807
25,2091.54,1.51714,0.96972,0.00284,0.44722,0.37004,0.36594,0.22195,1.5014,1.04583,0.00284,0.000657451,0.000657451,0.000657451
26,2174.75,1.48546,1.04974,0.00327,0.53178,0.34472,0.39657,0.23745,1.48598,1.02929,0.00284,0.000655095,0.000655095,0.000655095
27,2258.08,1.60179,1.0431,0.00284,0.517,0.41007,0.41655,0.25015,1.5579,1.03981,0.00291,0.000652739,0.000652739,0.000652739
28,2341.75,1.50636,0.93944,0.00301,0.49312,0.42821,0.40897,0.25417,1.47852,1.08753,0.00281,0.000650383,0.000650383,0.000650383
29,2425.52,1.55172,1.05406,0.00344,0.5235,0.4289,0.43167,0.2677,1.48899,1.11072,0.00279,0.000648026,0.000648026,0.000648026
30,2509.5,1.43745,0.93678,0.00285,0.56801,0.42049,0.42787,0.2647,1.49054,1.05877,0.00278,0.00064567,0.00064567,0.00064567
