epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,142.774,1.69795,3.75006,0.00394,0.9322,0.04708,0.04057,0.02682,1.52897,3.97307,0.00362,8.568e-05,8.568e-05,8.568e-05
2,283.575,1.60436,2.46398,0.00384,0.07966,0.13147,0.06284,0.03582,1.60792,5.84897,0.00393,0.000177911,0.000177911,0.000177911
3,424.94,1.60737,2.01663,0.00376,0.36539,0.16354,0.13275,0.07625,1.51013,2.11043,0.00367,0.000269529,0.000269529,0.000269529
4,565.909,1.6341,1.72333,0.00363,0.42129,0.17328,0.17092,0.10156,1.50512,1.70791,0.00362,0.000360535,0.000360535,0.000360535
5,705.414,1.60233,1.57558,0.00373,0.4431,0.17681,0.17786,0.10878,1.51479,1.53777,0.00367,0.000450928,0.000450928,0.000450928
6,846.426,1.61959,1.48118,0.00354,0.42937,0.23867,0.19808,0.11677,1.58621,1.40201,0.00371,0.000540709,0.000540709,0.000540709
7,989.637,1.63903,1.38591,0.00363,0.45536,0.24674,0.20964,0.13119,1.5666,1.40591,0.0037,0.000629877,0.000629877,0.000629877
8,1132.88,1.62773,1.3299,0.00389,0.52443,0.24444,0.24885,0.14787,1.55969,1.33095,0.00378,0.000697507,0.000697507,0.000697507
9,1278.08,1.60554,1.29343,0.00365,0.39923,0.26173,0.25205,0.14123,1.55562,1.31684,0.00377,0.00069515,0.00069515,0.00069515
10,1421.46,1.58822,1.24821,0.00367,0.38609,0.28067,0.26912,0.15704,1.55195,1.26659,0.00365,0.000692794,0.000692794,0.000692794
11,1567.68,1.57001,1.21947,0.00359,0.50575,0.27933,0.28893,0.16965,1.54126,1.30348,0.0037,0.000690438,0.000690438,0.000690438
12,1713.8,1.57744,1.17294,0.00356,0.4768,0.26821,0.27904,0.16312,1.5917,1.25402,0.00377,0.000688082,0.000688082,0.000688082
13,1860.94,1.58802,1.1237,0.00343,0.40101,0.32899,0.29342,0.16819,1.58265,1.19252,0.00368,0.000685726,0.000685726,0.000685726
14,2006.64,1.55877,1.0812,0.00342,0.33595,0.32408,0.29354,0.17125,1.55487,1.19044,0.00367,0.000683369,0.000683369,0.000683369
15,2154.25,1.5262,1.04552,0.00346,0.38145,0.32748,0.31755,0.19252,1.48451,1.08591,0.0035,0.000681013,0.000681013,0.000681013
16,2303.33,1.54715,1.05234,0.0034,0.50271,0.31621,0.33887,0.20091,1.50925,1.1028,0.00354,0.000678657,0.000678657,0.000678657
17,2455.46,1.5145,1.04077,0.00348,0.5139,0.32594,0.34407,0.20803,1.48803,1.08717,0.00358,0.000676301,0.000676301,0.000676301
18,2605.7,1.51357,1.00434,0.00334,0.386,0.36564,0.34032,0.20656,1.49305,1.0627,0.00355,0.000673945,0.000673945,0.000673945
19,2755.43,1.5154,0.98449,0.00328,0.51279,0.32337,0.34099,0.20769,1.5074,1.02809,0.00346,0.000671588,0.000671588,0.000671588
20,2902.33,1.5513,0.97099,0.00347,0.49871,0.35784,0.35846,0.21713,1.51409,1.04545,0.00358,0.000669232,0.000669232,0.000669232
21,3050.25,1.55046,0.95842,0.00354,0.4765,0.3838,0.38311,0.23356,1.46804,1.00952,0.00346,0.000666876,0.000666876,0.000666876
22,3194.2,1.58723,0.97321,0.00346,0.46239,0.37552,0.37613,0.2194,1.47984,1.05392,0.0035,0.00066452,0.00066452,0.00066452
23,3337.23,1.55102,0.95185,0.00351,0.51818,0.36883,0.38833,0.22772,1.5001,0.99722,0.00356,0.000662164,0.000662164,0.000662164
24,3478.66,1.5518,0.92796,0.00342,0.48231,0.37761,0.37943,0.23221,1.44833,0.99492,0.00337,0.000659807,0.000659807,0.000659807
25,3620.25,1.50504,0.89803,0.00325,0.55721,0.37026,0.40919,0.24938,1.46217,0.98786,0.00346,0.000657451,0.000657451,0.000657451
26,3759.31,1.49259,0.9072,0.00338,0.51303,0.39061,0.4148,0.24796,1.46945,0.96685,0.00358,0.000655095,0.000655095,0.000655095
27,3899.68,1.51009,0.90281,0.00337,0.50684,0.3805,0.38188,0.22602,1.49536,1.01328,0.0036,0.000652739,0.000652739,0.000652739
28,4040.93,1.47104,0.87249,0.0032,0.43068,0.34496,0.36472,0.21481,1.49219,0.99826,0.00348,0.000650383,0.000650383,0.000650383
29,4182.36,1.4914,0.86595,0.00326,0.4621,0.39417,0.38165,0.22822,1.46309,0.97759,0.00346,0.000648026,0.000648026,0.000648026
30,4322.62,1.47772,0.87039,0.00316,0.56693,0.3766,0.39915,0.23695,1.48489,1.01619,0.00346,0.00064567,0.00064567,0.00064567
31,4462.36,1.44047,0.85152,0.00319,0.60281,0.3477,0.40235,0.24263,1.46371,0.97661,0.00347,0.000643314,0.000643314,0.000643314
32,4601.47,1.42495,0.8351,0.00312,0.47079,0.40168,0.40481,0.24446,1.46773,0.95594,0.00346,0.000640958,0.000640958,0.000640958
33,4739.01,1.44782,0.83834,0.00321,0.44438,0.39841,0.39758,0.23368,1.47358,0.95316,0.00348,0.000638602,0.000638602,0.000638602
34,4876.56,1.46092,0.85688,0.00314,0.45319,0.37415,0.38145,0.22547,1.469,0.95497,0.00351,0.000636245,0.000636245,0.000636245
35,5013.8,1.41396,0.8228,0.00318,0.5445,0.3488,0.38955,0.23462,1.46632,0.93267,0.00341,0.000633889,0.000633889,0.000633889
36,5152.81,1.43178,0.81382,0.00311,0.53631,0.36683,0.38489,0.22807,1.47597,0.95608,0.00345,0.000631533,0.000631533,0.000631533
37,5291.09,1.44634,0.81277,0.00298,0.62187,0.34848,0.39827,0.23859,1.45482,0.92961,0.00337,0.000629177,0.000629177,0.000629177
38,5427.02,1.42131,0.8047,0.00306,0.49479,0.39395,0.3994,0.23553,1.46952,0.97516,0.00344,0.000626821,0.000626821,0.000626821
39,5563.36,1.45149,0.81979,0.0031,0.4805,0.38238,0.39824,0.24526,1.463,0.96798,0.00346,0.000624464,0.000624464,0.000624464
40,5700.59,1.43649,0.81174,0.00307,0.46052,0.37883,0.38404,0.22732,1.47495,1.00001,0.00345,0.000622108,0.000622108,0.000622108
41,5837.29,1.42114,0.79902,0.003,0.49258,0.4022,0.3889,0.23147,1.44376,0.95509,0.00338,0.000619752,0.000619752,0.000619752
42,5972.22,1.41566,0.78473,0.00301,0.48971,0.3674,0.39458,0.23897,1.45657,0.94546,0.00341,0.000617396,0.000617396,0.000617396
43,6108.02,1.41353,0.78236,0.00294,0.52944,0.38882,0.38612,0.22384,1.46329,0.95089,0.00348,0.00061504,0.00061504,0.00061504
44,6244.6,1.40341,0.76945,0.00297,0.54482,0.37374,0.38897,0.22672,1.46842,0.95513,0.0035,0.000612683,0.000612683,0.000612683
45,6381.97,1.43109,0.76528,0.00301,0.49516,0.4308,0.40319,0.23479,1.48649,0.93157,0.0035,0.000610327,0.000610327,0.000610327
46,6518.45,1.42415,0.76567,0.00306,0.53422,0.41137,0.4069,0.2471,1.4635,0.94243,0.00347,0.000607971,0.000607971,0.000607971
47,6655.81,1.37853,0.75614,0.00298,0.59696,0.37034,0.40321,0.23977,1.4681,0.97616,0.00345,0.000605615,0.000605615,0.000605615
48,6791.41,1.38644,0.75864,0.00294,0.62538,0.38028,0.42837,0.2564,1.4772,0.92654,0.00347,0.000603259,0.000603259,0.000603259
49,6929.42,1.36266,0.7482,0.00288,0.55592,0.42945,0.43223,0.26179,1.44223,0.90714,0.00338,0.000600902,0.000600902,0.000600902
50,7066.3,1.37245,0.72762,0.00291,0.51954,0.41657,0.4291,0.2573,1.45563,0.91489,0.00342,0.000598546,0.000598546,0.000598546
51,7203.26,1.37539,0.74328,0.00291,0.50766,0.4009,0.40014,0.23696,1.44732,0.93111,0.00339,0.00059619,0.00059619,0.00059619
52,7340.82,1.3469,0.71243,0.00289,0.52721,0.40999,0.41223,0.25458,1.44574,0.92841,0.00336,0.000593834,0.000593834,0.000593834
53,7479.1,1.39525,0.74653,0.00284,0.5173,0.39085,0.41155,0.25437,1.47394,0.95244,0.00351,0.000591478,0.000591478,0.000591478
54,7615.5,1.36677,0.71464,0.00295,0.492,0.3979,0.40032,0.24004,1.46208,0.9456,0.00341,0.000589121,0.000589121,0.000589121
55,7752.88,1.36239,0.71261,0.00288,0.52828,0.40302,0.40237,0.24565,1.45345,0.95024,0.00342,0.000586765,0.000586765,0.000586765
56,7890.89,1.34649,0.70674,0.00285,0.51539,0.365,0.39465,0.23654,1.45794,0.92058,0.00345,0.000584409,0.000584409,0.000584409
57,8028.54,1.36553,0.69861,0.00285,0.47815,0.40969,0.4024,0.24332,1.45751,0.93732,0.00345,0.000582053,0.000582053,0.000582053
58,8165.09,1.34261,0.6934,0.00295,0.48927,0.40476,0.39531,0.23508,1.43132,0.93584,0.00334,0.000579697,0.000579697,0.000579697
59,8301.29,1.34073,0.6991,0.00288,0.48468,0.42374,0.40079,0.23843,1.44785,0.94056,0.00337,0.00057734,0.00057734,0.00057734
60,8437.55,1.31543,0.67883,0.00282,0.51013,0.40534,0.40814,0.24723,1.45955,0.93634,0.00341,0.000574984,0.000574984,0.000574984
61,8574.19,1.35772,0.68636,0.00281,0.55632,0.36866,0.40909,0.25078,1.45342,0.94501,0.00338,0.000572628,0.000572628,0.000572628
62,8710.08,1.34454,0.68065,0.00277,0.54974,0.36151,0.40858,0.23544,1.45987,0.97928,0.00335,0.000570272,0.000570272,0.000570272
63,8846.43,1.34891,0.67958,0.00273,0.48164,0.43025,0.42627,0.25577,1.44794,0.91806,0.0034,0.000567916,0.000567916,0.000567916
64,8983.72,1.3357,0.66157,0.00281,0.57937,0.35995,0.42212,0.2583,1.44412,0.94041,0.00341,0.000565559,0.000565559,0.000565559
65,9121.52,1.36458,0.6818,0.00278,0.59016,0.34833,0.40286,0.24778,1.43632,0.95578,0.00339,0.000563203,0.000563203,0.000563203
66,9257,1.35887,0.68057,0.00279,0.59945,0.35718,0.41264,0.24122,1.46347,0.93518,0.00342,0.000560847,0.000560847,0.000560847
67,9394.05,1.37062,0.67767,0.00277,0.59773,0.35658,0.4028,0.24178,1.48049,0.94763,0.00346,0.000558491,0.000558491,0.000558491
68,9531.78,1.33809,0.65672,0.0027,0.5416,0.36723,0.40446,0.24551,1.43751,0.92333,0.00332,0.000556135,0.000556135,0.000556135
69,9670.8,1.34341,0.65401,0.00272,0.56418,0.40527,0.42617,0.25876,1.44435,0.91119,0.00336,0.000553778,0.000553778,0.000553778
