epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,77.45,1.66467,4.05504,0.00336,0.01741,0.1078,0.02203,0.01593,1.60411,3.37807,0.00306,4.284e-05,4.284e-05,4.284e-05
2,151.637,1.59634,3.31706,0.00324,0.8158,0.05792,0.04192,0.02866,1.6024,4.61157,0.00304,9.25137e-05,9.25137e-05,9.25137e-05
3,223.914,1.51293,2.35069,0.00323,0.09997,0.11526,0.05763,0.03768,1.61133,7.52983,0.00301,0.000141858,0.000141858,0.000141858
4,295.721,1.49702,2.16724,0.00329,0.32781,0.15838,0.09883,0.0616,1.6242,5.55768,0.00313,0.000190871,0.000190871,0.000190871
5,367.083,1.5081,1.91366,0.00317,0.44806,0.13704,0.12826,0.0768,1.59833,3.27125,0.00305,0.000239556,0.000239556,0.000239556
6,437.451,1.54973,1.78418,0.00315,0.62959,0.16106,0.15581,0.08763,1.70805,2.07569,0.00323,0.00028791,0.00028791,0.00028791
7,508.016,1.55725,1.63283,0.00307,0.63764,0.22352,0.1902,0.11153,1.65037,2.00756,0.00309,0.000335934,0.000335934,0.000335934
8,578.288,1.47676,1.52311,0.003,0.50657,0.2377,0.20164,0.12028,1.614,1.70806,0.00312,0.000383629,0.000383629,0.000383629
9,648.489,1.61741,1.47572,0.00322,0.34005,0.28083,0.22233,0.13004,1.63798,1.60266,0.00301,0.000430993,0.000430993,0.000430993
10,718.669,1.56916,1.3678,0.00309,0.35565,0.30002,0.24337,0.14832,1.61245,1.62337,0.00313,0.000478028,0.000478028,0.000478028
11,788.424,1.60516,1.38076,0.00307,0.53262,0.28803,0.26671,0.15996,1.59424,1.46342,0.003,0.000524733,0.000524733,0.000524733
12,858.583,1.54644,1.26363,0.00307,0.73941,0.25728,0.25385,0.15044,1.65642,1.54756,0.00312,0.000571108,0.000571108,0.000571108
13,927.813,1.50031,1.18548,0.00306,0.7259,0.27537,0.26269,0.15587,1.62258,1.54052,0.00305,0.000617153,0.000617153,0.000617153
14,996.886,1.5064,1.17488,0.00314,0.40836,0.31746,0.29075,0.17341,1.59529,1.37328,0.00299,0.000662868,0.000662868,0.000662868
15,1066.38,1.51693,1.14192,0.00309,0.3728,0.32038,0.3041,0.17932,1.6134,1.35957,0.00305,0.000681013,0.000681013,0.000681013
16,1136.08,1.49293,1.10745,0.00304,0.44732,0.31581,0.30971,0.18056,1.61996,1.29905,0.00305,0.000678657,0.000678657,0.000678657
