epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,73.5322,1.30198,0.65564,0.00207,0.57873,0.47696,0.4856,0.30748,1.4159,0.89961,0.00262,4.998e-05,4.998e-05,4.998e-05
2,145.017,1.31324,0.68895,0.0024,0.63519,0.42525,0.48716,0.30531,1.42002,0.89969,0.00262,0.00010604,0.00010604,0.00010604
3,215.664,1.27815,0.65205,0.0025,0.5498,0.4723,0.47368,0.29653,1.44587,0.92501,0.0027,0.000160968,0.000160968,0.000160968
4,285.997,1.23022,0.60608,0.0024,0.58283,0.4492,0.46445,0.29541,1.40958,0.92269,0.0026,0.000214766,0.000214766,0.000214766
5,356.44,1.20156,0.64123,0.00279,0.48426,0.48017,0.45308,0.28334,1.41718,0.92847,0.00263,0.000267433,0.000267433,0.000267433
6,426.646,1.27075,0.65385,0.0025,0.50947,0.43232,0.433,0.25606,1.48065,0.94612,0.00272,0.000318969,0.000318969,0.000318969
7,497.125,1.42906,0.68634,0.00227,0.55453,0.42986,0.44959,0.27485,1.42664,0.9304,0.00265,0.000369374,0.000369374,0.000369374
8,568.023,1.30075,0.6427,0.00267,0.52204,0.45239,0.45776,0.28143,1.46762,0.93301,0.00274,0.000418647,0.000418647,0.000418647
9,638.738,1.30161,0.66572,0.00227,0.64123,0.37526,0.45924,0.29061,1.45318,0.97622,0.0027,0.00046679,0.00046679,0.00046679
10,709.218,1.3198,0.66022,0.00256,0.51447,0.47022,0.45499,0.28351,1.48448,0.9832,0.00276,0.000513802,0.000513802,0.000513802
11,779.669,1.3343,0.66331,0.00235,0.48754,0.45482,0.43498,0.26666,1.51523,0.97065,0.00291,0.000559683,0.000559683,0.000559683
12,849.975,1.30144,0.66599,0.00256,0.45856,0.46272,0.42972,0.26371,1.50664,1.01054,0.00286,0.000604433,0.000604433,0.000604433
13,920.148,1.22845,0.70963,0.0031,0.55054,0.40137,0.42095,0.24769,1.58138,1.07522,0.00299,0.000629177,0.000629177,0.000629177
14,990.454,1.33387,0.66696,0.00272,0.56496,0.44323,0.44337,0.27053,1.49045,0.96023,0.00283,0.000622108,0.000622108,0.000622108
15,1060.28,1.32416,0.68165,0.00258,0.55739,0.41842,0.42802,0.26636,1.49014,0.9427,0.00278,0.00061504,0.00061504,0.00061504
16,1129.99,1.35242,0.69452,0.00251,0.52442,0.42871,0.41979,0.2591,1.48813,0.98439,0.00281,0.000607971,0.000607971,0.000607971
17,1200.15,1.30162,0.66252,0.00263,0.48151,0.46852,0.42074,0.2545,1.49157,0.98137,0.00282,0.000600902,0.000600902,0.000600902
18,1269.98,1.33918,0.65906,0.00264,0.52424,0.44455,0.42533,0.25889,1.50806,0.96088,0.00285,0.000593834,0.000593834,0.000593834
19,1339.8,1.29238,0.68685,0.00259,0.49309,0.43785,0.4203,0.25528,1.46886,0.9857,0.00276,0.000586765,0.000586765,0.000586765
20,1409.26,1.35549,0.72188,0.00241,0.4586,0.43553,0.38728,0.23385,1.49125,0.96383,0.00278,0.000579697,0.000579697,0.000579697
21,1478.8,1.27439,0.64056,0.00269,0.44538,0.43939,0.40847,0.24078,1.50743,0.95282,0.00286,0.000572628,0.000572628,0.000572628
22,1548.65,1.27161,0.65249,0.00237,0.47884,0.46027,0.42946,0.26135,1.47469,0.95847,0.00279,0.000565559,0.000565559,0.000565559
23,1618.61,1.2474,0.62829,0.00235,0.5523,0.44295,0.44005,0.26728,1.45526,0.96173,0.00271,0.000558491,0.000558491,0.000558491
24,1688.68,1.27479,0.63154,0.00261,0.60194,0.39499,0.43693,0.26359,1.45898,0.95116,0.00272,0.000551422,0.000551422,0.000551422
25,1758.58,1.35489,0.6792,0.00235,0.57177,0.44635,0.45318,0.27668,1.52276,0.95836,0.00288,0.000544354,0.000544354,0.000544354
26,1828.75,1.28064,0.73629,0.00272,0.47735,0.45594,0.44012,0.26898,1.44289,0.96357,0.0027,0.000537285,0.000537285,0.000537285
27,1898.35,1.40074,0.66662,0.00232,0.55173,0.4745,0.456,0.28404,1.46413,0.94699,0.0027,0.000530216,0.000530216,0.000530216
28,1968.44,1.29343,0.64204,0.00245,0.65648,0.43149,0.47496,0.30119,1.45041,0.93508,0.00268,0.000523148,0.000523148,0.000523148
29,2038.57,1.30466,0.70974,0.00259,0.563,0.4628,0.45777,0.29366,1.44844,0.95705,0.00269,0.000516079,0.000516079,0.000516079
30,2108.35,1.26049,0.62052,0.00236,0.51852,0.47896,0.4505,0.28172,1.4359,0.93652,0.0027,0.000509011,0.000509011,0.000509011
31,2178.11,1.37054,0.65031,0.00213,0.52666,0.48637,0.44937,0.27545,1.47512,0.95334,0.00276,0.000501942,0.000501942,0.000501942
32,2247.78,1.33326,0.67412,0.00231,0.43541,0.48249,0.43601,0.26695,1.42985,0.94873,0.00265,0.000494873,0.000494873,0.000494873
33,2317.52,1.22718,0.58722,0.00237,0.62365,0.40064,0.42794,0.26022,1.45448,0.9456,0.00273,0.000487805,0.000487805,0.000487805
34,2387.62,1.29085,0.6047,0.0023,0.52912,0.45208,0.45828,0.2813,1.42725,0.94317,0.00265,0.000480736,0.000480736,0.000480736
35,2457.8,1.25176,0.58704,0.00222,0.58521,0.42853,0.45645,0.2782,1.45506,0.97397,0.00274,0.000473668,0.000473668,0.000473668
36,2527.79,1.31759,0.66622,0.00241,0.57896,0.46378,0.4716,0.29135,1.46051,0.95969,0.00276,0.000466599,0.000466599,0.000466599
37,2597.68,1.15924,0.57631,0.00224,0.57289,0.48336,0.47587,0.29672,1.46416,0.93543,0.00277,0.00045953,0.00045953,0.00045953
38,2667.47,1.26191,0.59138,0.0023,0.60787,0.4573,0.47341,0.29588,1.44864,0.95169,0.00275,0.000452462,0.000452462,0.000452462
39,2737.21,1.36745,0.6782,0.00231,0.51125,0.49427,0.46672,0.2894,1.4305,0.95301,0.00269,0.000445393,0.000445393,0.000445393
40,2807.02,1.2333,0.57239,0.00229,0.49095,0.48622,0.45515,0.28445,1.44019,0.94185,0.00272,0.000438325,0.000438325,0.000438325
41,2876.65,1.24714,0.569,0.00224,0.52757,0.45757,0.45118,0.27853,1.44363,0.94051,0.00272,0.000431256,0.000431256,0.000431256
