epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,128.122,1.63218,3.77085,0.00498,0.53996,0.03775,0.0329,0.02104,1.64589,2.6574,0.00426,7.14e-05,7.14e-05,7.14e-05
2,252.231,1.56926,2.45516,0.00427,0.5358,0.04123,0.03513,0.02193,1.56102,6.81705,0.004,0.000149445,0.000149445,0.000149445
3,373.628,1.51879,2.01537,0.00431,0.67723,0.12029,0.07855,0.04349,1.60332,2.53447,0.00416,0.000226972,0.000226972,0.000226972
4,492.129,1.52294,1.8184,0.0043,0.71146,0.10858,0.10288,0.05582,1.53638,1.95596,0.0038,0.000303981,0.000303981,0.000303981
5,609.59,1.52726,1.57693,0.00427,0.74909,0.13573,0.12675,0.07083,1.64396,1.63843,0.00417,0.000380471,0.000380471,0.000380471
6,726.055,1.54016,1.45811,0.00417,0.61836,0.15525,0.15007,0.08216,1.61618,1.65386,0.00415,0.000456442,0.000456442,0.000456442
7,842.264,1.55716,1.35686,0.00446,0.67827,0.15529,0.16985,0.09912,1.62641,1.46518,0.00417,0.000531896,0.000531896,0.000531896
8,958.024,1.5524,1.28328,0.0045,0.66152,0.14255,0.16628,0.09333,1.67612,1.53651,0.00427,0.000606831,0.000606831,0.000606831
9,1073.21,1.56845,1.25415,0.00448,0.495,0.1875,0.19218,0.11389,1.60317,1.35056,0.0041,0.000681247,0.000681247,0.000681247
10,1188.93,1.6129,1.25221,0.00448,0.51973,0.18586,0.19336,0.11244,1.59512,1.3342,0.00408,0.000692794,0.000692794,0.000692794
11,1304.44,1.52867,1.16114,0.00434,0.39923,0.19995,0.21088,0.1201,1.583,1.28319,0.00403,0.000690438,0.000690438,0.000690438
12,1420.39,1.44935,1.11586,0.00423,0.74565,0.19179,0.22261,0.12955,1.59474,1.25748,0.00421,0.000688082,0.000688082,0.000688082
13,1536.15,1.45611,1.06437,0.00421,0.43692,0.22629,0.22708,0.13236,1.58089,1.27258,0.00407,0.000685726,0.000685726,0.000685726
14,1651.84,1.45061,1.03968,0.00396,0.64136,0.19958,0.23899,0.14082,1.53895,1.23438,0.00389,0.000683369,0.000683369,0.000683369
15,1767.6,1.41221,0.97866,0.00409,0.46982,0.23642,0.254,0.14647,1.55207,1.14784,0.00392,0.000681013,0.000681013,0.000681013
16,1883.28,1.43972,0.9858,0.00409,0.28057,0.28543,0.26193,0.15289,1.57958,1.19017,0.00396,0.000678657,0.000678657,0.000678657
17,1999.44,1.50968,1.00347,0.00404,0.42745,0.27482,0.26601,0.15732,1.57327,1.1535,0.00394,0.000676301,0.000676301,0.000676301
18,2115.08,1.4038,0.91671,0.00411,0.55225,0.22663,0.26533,0.15454,1.54728,1.17842,0.00384,0.000673945,0.000673945,0.000673945
19,2230.99,1.43329,0.9322,0.00385,0.32363,0.28377,0.26619,0.15977,1.54353,1.14661,0.00383,0.000671588,0.000671588,0.000671588
20,2346.61,1.39091,0.91822,0.00378,0.43744,0.27349,0.27582,0.16581,1.52941,1.1406,0.00383,0.000669232,0.000669232,0.000669232
21,2462.7,1.37921,0.88824,0.00384,0.42839,0.26562,0.27336,0.15874,1.57678,1.15116,0.00391,0.000666876,0.000666876,0.000666876
22,2578.78,1.40981,0.88667,0.00387,0.31819,0.26149,0.27798,0.16055,1.54183,1.08307,0.00382,0.00066452,0.00066452,0.00066452
23,2693.93,1.39228,0.84916,0.00368,0.37451,0.30065,0.28931,0.1661,1.53967,1.10297,0.0039,0.000662164,0.000662164,0.000662164
24,2809.75,1.42101,0.87176,0.00393,0.34635,0.30636,0.27897,0.15518,1.67146,1.11245,0.00418,0.000659807,0.000659807,0.000659807
25,2925.07,1.42324,0.82279,0.00394,0.40789,0.33389,0.29498,0.16767,1.53757,1.06179,0.00383,0.000657451,0.000657451,0.000657451
26,3041.09,1.37306,0.81617,0.00381,0.53541,0.28799,0.29746,0.17344,1.54227,1.05666,0.00381,0.000655095,0.000655095,0.000655095
27,3157.27,1.41454,0.82188,0.00372,0.38762,0.28121,0.27888,0.15908,1.54397,1.08069,0.00379,0.000652739,0.000652739,0.000652739
28,3273.53,1.38999,0.79726,0.00378,0.41936,0.32575,0.28027,0.16463,1.52542,1.05764,0.00374,0.000650383,0.000650383,0.000650383
29,3389.41,1.39237,0.7871,0.00361,0.29599,0.30705,0.29004,0.17018,1.49835,1.02159,0.00371,0.000648026,0.000648026,0.000648026
30,3504.51,1.39707,0.7874,0.00374,0.3041,0.32619,0.30024,0.17989,1.50321,1.05403,0.00368,0.00064567,0.00064567,0.00064567
31,3620.07,1.34972,0.77409,0.00349,0.5749,0.30529,0.32635,0.19287,1.50333,1.04806,0.00374,0.000643314,0.000643314,0.000643314
32,3736.16,1.32872,0.75898,0.00343,0.57172,0.32063,0.31344,0.1885,1.50641,1.01056,0.00375,0.000640958,0.000640958,0.000640958
33,3851.49,1.3349,0.74276,0.00355,0.55496,0.31179,0.30164,0.18206,1.51905,1.0436,0.00381,0.000638602,0.000638602,0.000638602
34,3967.39,1.35717,0.76869,0.00371,0.46099,0.32154,0.31772,0.18717,1.52201,1.02401,0.00382,0.000636245,0.000636245,0.000636245
