epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,77.5982,1.74688,4.03906,0.00495,0.01791,0.16271,0.03222,0.02244,1.51418,3.03859,0.00401,4.284e-05,4.284e-05,4.284e-05
2,153.607,1.64958,3.18997,0.00463,0.64479,0.04428,0.04131,0.02681,1.49336,5.39287,0.00399,9.25137e-05,9.25137e-05,9.25137e-05
3,228.76,1.61683,2.47213,0.00446,0.33851,0.04994,0.04312,0.02712,1.51625,7.19905,0.00401,0.000141858,0.000141858,0.000141858
4,303.574,1.52874,2.19056,0.00455,0.55036,0.05481,0.06186,0.03927,1.46706,4.62278,0.00385,0.000190871,0.000190871,0.000190871
5,378.228,1.54623,1.94183,0.00427,0.50407,0.13171,0.12207,0.07209,1.51957,2.33044,0.00407,0.000239556,0.000239556,0.000239556
6,452.8,1.62623,1.79727,0.00454,0.61821,0.12696,0.12805,0.07276,1.55606,1.80064,0.00417,0.00028791,0.00028791,0.00028791
7,527.238,1.60126,1.66308,0.00421,0.70424,0.13935,0.15686,0.09183,1.51878,1.5901,0.00403,0.000335934,0.000335934,0.000335934
8,601.102,1.53756,1.51789,0.00422,0.58522,0.13686,0.15722,0.0946,1.51768,1.4967,0.00416,0.000383629,0.000383629,0.000383629
9,674.98,1.58566,1.43094,0.00408,0.54943,0.17794,0.1678,0.09611,1.54055,1.43244,0.0041,0.000430993,0.000430993,0.000430993
10,749.112,1.54177,1.37423,0.00405,0.47826,0.16081,0.16918,0.10016,1.50879,1.31805,0.00409,0.000478028,0.000478028,0.000478028
11,822.631,1.55687,1.31271,0.00406,0.45859,0.21456,0.18612,0.10963,1.49555,1.27824,0.00403,0.000524733,0.000524733,0.000524733
12,896.37,1.47457,1.27915,0.00396,0.40508,0.22246,0.19704,0.12391,1.49584,1.26536,0.00396,0.000571108,0.000571108,0.000571108
13,969.772,1.57904,1.26836,0.00399,0.54745,0.16319,0.1927,0.11911,1.57958,1.28315,0.00425,0.000617153,0.000617153,0.000617153
14,1042.71,1.5095,1.27827,0.00418,0.25385,0.19728,0.17984,0.11176,1.55064,1.4505,0.00406,0.000662868,0.000662868,0.000662868
15,1115.78,1.49927,1.1379,0.0042,0.45307,0.18351,0.19835,0.11887,1.55026,1.21747,0.00411,0.000681013,0.000681013,0.000681013
16,1189.42,1.60281,1.16375,0.00435,0.217,0.21805,0.20119,0.12358,1.59446,1.24457,0.00426,0.000678657,0.000678657,0.000678657
17,1262.74,1.50005,1.11332,0.00412,0.20705,0.21642,0.20007,0.12099,1.58499,1.19435,0.0042,0.000676301,0.000676301,0.000676301
18,1335.92,1.53524,1.12595,0.00418,0.40739,0.2258,0.20315,0.11982,1.60557,1.21187,0.00432,0.000673945,0.000673945,0.000673945
19,1409.24,1.50466,1.07777,0.0042,0.51086,0.23667,0.21354,0.1214,1.57255,1.13764,0.00426,0.000671588,0.000671588,0.000671588
20,1482.72,1.53937,1.01393,0.00451,0.53097,0.23731,0.21628,0.12406,1.60772,1.12971,0.00431,0.000669232,0.000669232,0.000669232
21,1556.49,1.5123,1.00876,0.00392,0.5996,0.20788,0.24524,0.14296,1.59951,1.09666,0.00427,0.000666876,0.000666876,0.000666876
22,1630.14,1.44711,0.9812,0.004,0.49373,0.23871,0.25911,0.15584,1.54196,1.08662,0.00415,0.00066452,0.00066452,0.00066452
23,1703.74,1.52017,1.00501,0.00427,0.31015,0.2885,0.27684,0.16745,1.59686,1.10269,0.00428,0.000662164,0.000662164,0.000662164
24,1777.52,1.4868,1.03162,0.00419,0.34624,0.29038,0.28296,0.16651,1.55899,1.06733,0.00427,0.000659807,0.000659807,0.000659807
25,1850.63,1.50641,0.98772,0.00416,0.5271,0.29347,0.2762,0.15947,1.64546,1.1061,0.00445,0.000657451,0.000657451,0.000657451
26,1923.61,1.53098,0.98834,0.0043,0.40555,0.25979,0.26539,0.159,1.53607,1.06035,0.00421,0.000655095,0.000655095,0.000655095
27,1996.96,1.55782,0.98694,0.00407,0.50844,0.2664,0.28369,0.16713,1.48798,1.03913,0.00398,0.000652739,0.000652739,0.000652739
28,2070.17,1.45776,0.92661,0.00391,0.52503,0.269,0.29767,0.17061,1.56215,1.03951,0.00417,0.000650383,0.000650383,0.000650383
29,2143.73,1.48221,0.90138,0.00369,0.51901,0.2857,0.299,0.17571,1.47443,1.01331,0.00394,0.000648026,0.000648026,0.000648026
30,2217.14,1.43725,0.87644,0.00379,0.44825,0.29596,0.30787,0.17591,1.48711,1.00494,0.00397,0.00064567,0.00064567,0.00064567
31,2290.56,1.35882,0.87487,0.0039,0.33788,0.30334,0.30645,0.17962,1.4838,1.00084,0.00397,0.000643314,0.000643314,0.000643314
32,2363.83,1.41906,0.87487,0.00376,0.47458,0.28681,0.29645,0.17399,1.50788,1.01236,0.00394,0.000640958,0.000640958,0.000640958
33,2437.21,1.4229,0.87812,0.00369,0.48985,0.27628,0.30909,0.18334,1.48532,0.96562,0.00393,0.000638602,0.000638602,0.000638602
34,2510.81,1.37773,0.80567,0.00374,0.48777,0.26788,0.31097,0.18884,1.4866,0.99725,0.00392,0.000636245,0.000636245,0.000636245
35,2584.41,1.39346,0.84228,0.00371,0.47748,0.29368,0.31889,0.19084,1.46586,0.99973,0.00388,0.000633889,0.000633889,0.000633889
36,2657.98,1.36204,0.80711,0.00355,0.41847,0.33556,0.35466,0.20184,1.54761,1.00415,0.00411,0.000631533,0.000631533,0.000631533
37,2731.32,1.43232,0.83175,0.00356,0.36192,0.34395,0.34597,0.19693,1.52001,0.97487,0.00399,0.000629177,0.000629177,0.000629177
38,2804.74,1.37623,0.85144,0.00387,0.41982,0.31412,0.33078,0.19382,1.48501,1.02652,0.00392,0.000626821,0.000626821,0.000626821
39,2877.97,1.41398,0.84484,0.00362,0.29801,0.33613,0.27852,0.15859,1.49726,1.00478,0.00397,0.000624464,0.000624464,0.000624464
40,2951.43,1.38045,0.81806,0.00368,0.41091,0.25754,0.29354,0.17569,1.46921,0.97691,0.00394,0.000622108,0.000622108,0.000622108
41,3024.48,1.3604,0.80287,0.00351,0.61524,0.25661,0.31292,0.18629,1.49299,0.9716,0.00393,0.000619752,0.000619752,0.000619752
42,3097.69,1.42082,0.82105,0.00354,0.36131,0.30343,0.33434,0.20071,1.52689,1.02034,0.00413,0.000617396,0.000617396,0.000617396
43,3170.86,1.38428,0.79476,0.00349,0.35041,0.37354,0.34424,0.20904,1.4823,0.94046,0.00389,0.00061504,0.00061504,0.00061504
44,3244.17,1.34131,0.7635,0.00364,0.42846,0.32877,0.32316,0.19329,1.48209,0.92723,0.00403,0.000612683,0.000612683,0.000612683
45,3317.15,1.42148,0.79777,0.00376,0.3974,0.34366,0.33485,0.19865,1.46195,0.95533,0.00391,0.000610327,0.000610327,0.000610327
46,3390.54,1.35055,0.78335,0.00353,0.49527,0.29554,0.32984,0.19305,1.46,0.98706,0.00384,0.000607971,0.000607971,0.000607971
47,3463.45,1.33866,0.77096,0.00361,0.51196,0.32838,0.35271,0.21015,1.46552,0.96947,0.00388,0.000605615,0.000605615,0.000605615
48,3536.48,1.27854,0.72123,0.0035,0.46989,0.32936,0.35841,0.21256,1.4775,0.95278,0.00388,0.000603259,0.000603259,0.000603259
49,3609.59,1.36433,0.76258,0.0033,0.51719,0.32627,0.36376,0.21665,1.46508,0.95126,0.00388,0.000600902,0.000600902,0.000600902
50,3682.48,1.26958,0.70317,0.00334,0.54475,0.33175,0.35627,0.20815,1.48092,0.94612,0.0039,0.000598546,0.000598546,0.000598546
51,3755.15,1.30616,0.71541,0.00331,0.48781,0.36751,0.37486,0.21336,1.48257,0.91046,0.00392,0.00059619,0.00059619,0.00059619
52,3827.79,1.27966,0.71649,0.0034,0.48624,0.36304,0.37043,0.21176,1.48172,0.91,0.00397,0.000593834,0.000593834,0.000593834
53,3900.91,1.22726,0.66646,0.00328,0.43209,0.37723,0.35902,0.19945,1.48246,0.90927,0.00395,0.000591478,0.000591478,0.000591478
54,3973.94,1.38501,0.74494,0.00325,0.40476,0.37121,0.34128,0.19515,1.48956,0.92412,0.00396,0.000589121,0.000589121,0.000589121
55,4047.06,1.33058,0.72051,0.00318,0.58497,0.30205,0.35161,0.19836,1.47134,0.94764,0.00393,0.000586765,0.000586765,0.000586765
56,4120.02,1.30548,0.71579,0.00322,0.49139,0.34396,0.3189,0.18872,1.47317,0.93336,0.00388,0.000584409,0.000584409,0.000584409
57,4192.72,1.25935,0.676,0.00314,0.60921,0.30535,0.32976,0.19569,1.48636,0.94919,0.00397,0.000582053,0.000582053,0.000582053
58,4265.64,1.32255,0.68378,0.00323,0.54713,0.34189,0.3421,0.20031,1.5134,0.96607,0.00398,0.000579697,0.000579697,0.000579697
59,4338.28,1.26682,0.6841,0.0033,0.64197,0.38234,0.39209,0.22432,1.48061,0.9356,0.00386,0.00057734,0.00057734,0.00057734
60,4411.24,1.30872,0.6933,0.0031,0.61639,0.3737,0.3866,0.22337,1.48555,0.95039,0.00387,0.000574984,0.000574984,0.000574984
61,4483.75,1.29636,0.67076,0.00323,0.65325,0.38977,0.3765,0.21834,1.48733,0.93435,0.0039,0.000572628,0.000572628,0.000572628
62,4556.1,1.32813,0.70416,0.00327,0.58445,0.37703,0.37189,0.21013,1.51281,0.92494,0.00396,0.000570272,0.000570272,0.000570272
63,4628.74,1.26968,0.67886,0.00323,0.7576,0.3218,0.37217,0.22178,1.4869,0.91925,0.00391,0.000567916,0.000567916,0.000567916
64,4701.91,1.32763,0.69758,0.00314,0.6911,0.37912,0.39112,0.23587,1.49988,0.92644,0.00405,0.000565559,0.000565559,0.000565559
65,4775.39,1.29027,0.65299,0.00322,0.64869,0.36854,0.37564,0.23026,1.47403,0.92338,0.00395,0.000563203,0.000563203,0.000563203
66,4848.62,1.28259,0.67394,0.00327,0.56552,0.38946,0.36461,0.2179,1.50549,0.93841,0.00397,0.000560847,0.000560847,0.000560847
67,4921.7,1.26539,0.63259,0.00316,0.59359,0.38118,0.365,0.21917,1.455,0.91803,0.00383,0.000558491,0.000558491,0.000558491
68,4994.73,1.29309,0.71344,0.00317,0.52904,0.36375,0.35824,0.21547,1.48322,0.9289,0.00389,0.000556135,0.000556135,0.000556135
69,5067.69,1.28323,0.65157,0.00328,0.47314,0.34945,0.33884,0.20199,1.47543,0.91823,0.00388,0.000553778,0.000553778,0.000553778
70,5140.56,1.29303,0.64873,0.00311,0.43103,0.3889,0.34437,0.19669,1.47135,0.90116,0.00387,0.000551422,0.000551422,0.000551422
71,5213.61,1.25489,0.63462,0.00307,0.56503,0.29448,0.3409,0.19473,1.47824,0.93406,0.00392,0.000549066,0.000549066,0.000549066
72,5286.6,1.21163,0.64475,0.00298,0.72015,0.27389,0.35388,0.20312,1.45991,0.9003,0.00386,0.00054671,0.00054671,0.00054671
73,5359.63,1.26019,0.65323,0.00299,0.54231,0.36092,0.35546,0.20552,1.45925,0.89958,0.00384,0.000544354,0.000544354,0.000544354
74,5432.5,1.17379,0.63373,0.00313,0.51238,0.36608,0.36007,0.20903,1.44945,0.91389,0.00381,0.000541997,0.000541997,0.000541997
75,5505.9,1.19711,0.61421,0.00309,0.58413,0.36531,0.37614,0.2127,1.49493,0.90859,0.00395,0.000539641,0.000539641,0.000539641
76,5579.03,1.22867,0.62239,0.00283,0.58328,0.38938,0.39566,0.22853,1.4656,0.91448,0.00388,0.000537285,0.000537285,0.000537285
77,5651.64,1.19748,0.62205,0.00283,0.55158,0.3683,0.39473,0.23201,1.46403,0.93595,0.00387,0.000534929,0.000534929,0.000534929
78,5724.7,1.1964,0.60199,0.003,0.61608,0.30173,0.37577,0.21764,1.47886,0.94129,0.00392,0.000532573,0.000532573,0.000532573
79,5797.18,1.14657,0.5774,0.00292,0.4202,0.36144,0.38225,0.21377,1.47734,0.94773,0.00387,0.000530216,0.000530216,0.000530216
80,5869.86,1.19411,0.60033,0.003,0.47698,0.40401,0.37595,0.20936,1.49225,0.94254,0.00394,0.00052786,0.00052786,0.00052786
81,5942.59,1.19471,0.597,0.00296,0.53938,0.37842,0.37444,0.20291,1.49674,0.93255,0.00395,0.000525504,0.000525504,0.000525504
82,6015.39,1.16158,0.57793,0.00282,0.69686,0.32731,0.37174,0.20598,1.47335,0.97494,0.00389,0.000523148,0.000523148,0.000523148
83,6088.43,1.1785,0.58983,0.00281,0.72248,0.33105,0.37918,0.21231,1.49499,0.93475,0.00396,0.000520792,0.000520792,0.000520792
84,6161.45,1.19271,0.58586,0.00294,0.57113,0.39419,0.40196,0.22321,1.49408,0.90772,0.00399,0.000518435,0.000518435,0.000518435
85,6234.41,1.21274,0.60528,0.00286,0.60504,0.40326,0.38456,0.20903,1.51526,0.92722,0.00399,0.000516079,0.000516079,0.000516079
86,6307.24,1.15678,0.57086,0.00299,0.70335,0.35246,0.40079,0.21514,1.49822,0.91811,0.00404,0.000513723,0.000513723,0.000513723
87,6380.14,1.20298,0.58252,0.00298,0.6907,0.32636,0.37661,0.20787,1.49149,0.89582,0.00396,0.000511367,0.000511367,0.000511367
88,6452.78,1.09041,0.55876,0.00289,0.68656,0.36519,0.41489,0.22913,1.48048,0.89816,0.00395,0.000509011,0.000509011,0.000509011
89,6525.26,1.15589,0.56935,0.00272,0.70218,0.35129,0.41475,0.22651,1.48816,0.91423,0.00396,0.000506654,0.000506654,0.000506654
90,6597.99,1.27679,0.6247,0.00297,0.63011,0.34037,0.3969,0.22167,1.5077,0.90154,0.00399,0.000504298,0.000504298,0.000504298
91,6671.04,1.15929,0.57788,0.00282,0.61192,0.3439,0.38256,0.21892,1.46199,0.91617,0.00389,0.000501942,0.000501942,0.000501942
92,6743.75,1.20489,0.58972,0.00277,0.69042,0.34829,0.39098,0.22296,1.47388,0.92185,0.00386,0.000499586,0.000499586,0.000499586
93,6816.94,1.14962,0.56533,0.00275,0.59323,0.38277,0.39319,0.22057,1.45916,0.90154,0.00383,0.00049723,0.00049723,0.00049723
94,6890.22,1.11729,0.54527,0.00264,0.64443,0.35461,0.39407,0.22556,1.46076,0.90495,0.00383,0.000494873,0.000494873,0.000494873
95,6963.2,1.13147,0.55526,0.00275,0.59203,0.35196,0.36842,0.20306,1.45602,0.91405,0.00382,0.000492517,0.000492517,0.000492517
96,7036.14,1.15056,0.56637,0.0027,0.65814,0.32708,0.36425,0.20166,1.47765,0.90293,0.00389,0.000490161,0.000490161,0.000490161
97,7108.71,1.18583,0.55335,0.00272,0.6107,0.34154,0.35294,0.19768,1.48527,0.9036,0.0039,0.000487805,0.000487805,0.000487805
98,7181.8,1.11554,0.56368,0.00276,0.53942,0.36191,0.36254,0.20613,1.47222,0.92406,0.00387,0.000485449,0.000485449,0.000485449
99,7254.61,1.13124,0.56265,0.00278,0.48984,0.36955,0.34076,0.19536,1.50204,0.92996,0.00393,0.000483092,0.000483092,0.000483092
100,7327.43,1.09343,0.53903,0.0029,0.44945,0.37535,0.33368,0.19324,1.48287,0.91457,0.00391,0.000480736,0.000480736,0.000480736
101,7399.89,1.1511,0.56959,0.00286,0.45065,0.36936,0.3287,0.19497,1.47387,0.89696,0.00388,0.00047838,0.00047838,0.00047838
102,7472.34,1.22058,0.59643,0.00263,0.48198,0.36604,0.33327,0.18282,1.51624,0.94636,0.00399,0.000476024,0.000476024,0.000476024
